year,pre-harvest_total,adult_prop,yearling_prop,fawn_prop,f:m_ratio,iteration,lambda
1,27933,0.49,0.15,0.35,1.09,1,NA
2,27511,0.45,0.23,0.33,1.11,1,0.985
3,27602,0.46,0.21,0.33,1.12,1,1.003
4,27510,0.45,0.21,0.34,1.11,1,0.997
5,29970,0.47,0.2,0.33,1.16,1,1.089
6,32977,0.47,0.19,0.34,1.19,1,1.1
7,35393,0.46,0.2,0.34,1.19,1,1.073
8,37257,0.45,0.21,0.34,1.19,1,1.053
9,39031,0.45,0.21,0.34,1.16,1,1.048
10,40201,0.45,0.21,0.34,1.15,1,1.03
11,40798,0.45,0.21,0.34,1.14,1,1.015
12,41591,0.45,0.21,0.34,1.12,1,1.019
13,41905,0.45,0.21,0.34,1.12,1,1.008
14,42243,0.45,0.21,0.34,1.1,1,1.008
15,42281,0.45,0.21,0.34,1.11,1,1.001
16,42150,0.45,0.21,0.33,1.1,1,0.997
17,42468,0.45,0.21,0.34,1.1,1,1.008
18,42202,0.45,0.21,0.33,1.1,1,0.994
19,42590,0.45,0.21,0.34,1.11,1,1.009
20,42519,0.45,0.21,0.33,1.1,1,0.998
21,42324,0.46,0.21,0.33,1.09,1,0.995
22,42601,0.46,0.21,0.34,1.1,1,1.007
23,42666,0.46,0.21,0.33,1.1,1,1.002
24,42617,0.46,0.21,0.33,1.09,1,0.999
25,42611,0.46,0.21,0.33,1.1,1,1
26,42347,0.46,0.21,0.33,1.09,1,0.994
1,28456,0.49,0.15,0.36,1.07,2,NA
2,27765,0.44,0.23,0.33,1.1,2,0.976
3,27855,0.46,0.21,0.34,1.09,2,1.003
4,27615,0.45,0.21,0.33,1.09,2,0.991
5,29806,0.47,0.19,0.33,1.12,2,1.079
6,32309,0.47,0.19,0.34,1.14,2,1.084
7,34194,0.46,0.2,0.34,1.16,2,1.058
8,35635,0.46,0.2,0.34,1.16,2,1.042
9,37398,0.45,0.21,0.34,1.14,2,1.049
10,38558,0.45,0.21,0.34,1.15,2,1.031
11,39508,0.45,0.21,0.34,1.13,2,1.025
12,40221,0.45,0.21,0.34,1.11,2,1.018
13,40639,0.45,0.21,0.34,1.1,2,1.01
14,40568,0.45,0.21,0.33,1.09,2,0.998
15,40815,0.46,0.21,0.33,1.09,2,1.006
16,40650,0.45,0.21,0.33,1.1,2,0.996
17,40626,0.45,0.21,0.33,1.09,2,0.999
18,40541,0.46,0.21,0.33,1.09,2,0.998
19,40295,0.46,0.21,0.33,1.09,2,0.994
20,40781,0.46,0.21,0.33,1.1,2,1.012
21,40878,0.45,0.21,0.34,1.1,2,1.002
22,41043,0.45,0.21,0.33,1.11,2,1.004
23,40962,0.45,0.21,0.34,1.11,2,0.998
24,40664,0.45,0.21,0.33,1.12,2,0.993
25,40902,0.45,0.21,0.34,1.1,2,1.006
26,41033,0.45,0.21,0.33,1.1,2,1.003
1,28243,0.49,0.15,0.36,1.09,3,NA
2,27717,0.44,0.23,0.33,1.13,3,0.981
3,27892,0.46,0.21,0.34,1.11,3,1.006
4,27796,0.45,0.22,0.33,1.1,3,0.997
5,30264,0.47,0.19,0.33,1.15,3,1.089
6,32964,0.47,0.19,0.34,1.18,3,1.089
7,35133,0.46,0.2,0.34,1.16,3,1.066
8,36999,0.45,0.2,0.34,1.18,3,1.053
9,37911,0.45,0.21,0.34,1.14,3,1.025
10,38984,0.45,0.21,0.34,1.15,3,1.028
11,39728,0.45,0.21,0.34,1.15,3,1.019
12,40567,0.45,0.21,0.34,1.14,3,1.021
13,41145,0.45,0.21,0.34,1.13,3,1.014
14,41330,0.45,0.21,0.34,1.14,3,1.004
15,41500,0.45,0.21,0.34,1.12,3,1.004
16,41556,0.45,0.21,0.34,1.11,3,1.001
17,41772,0.45,0.21,0.34,1.11,3,1.005
18,41759,0.45,0.22,0.33,1.11,3,1
19,41964,0.45,0.21,0.34,1.1,3,1.005
20,41926,0.45,0.21,0.33,1.09,3,0.999
21,41940,0.45,0.21,0.33,1.09,3,1
22,41725,0.46,0.21,0.33,1.08,3,0.995
23,41866,0.46,0.21,0.33,1.1,3,1.003
24,42157,0.45,0.21,0.34,1.1,3,1.007
25,42201,0.45,0.21,0.34,1.11,3,1.001
26,42050,0.46,0.21,0.33,1.11,3,0.996
1,28438,0.49,0.15,0.36,1.07,4,NA
2,28043,0.44,0.23,0.33,1.08,4,0.986
3,27892,0.46,0.21,0.33,1.07,4,0.995
4,27627,0.46,0.21,0.33,1.07,4,0.99
5,29602,0.47,0.2,0.33,1.11,4,1.071
6,31685,0.47,0.19,0.34,1.13,4,1.07
7,33451,0.46,0.2,0.34,1.14,4,1.056
8,35128,0.46,0.2,0.34,1.13,4,1.05
9,36083,0.45,0.21,0.34,1.15,4,1.027
10,37178,0.45,0.21,0.34,1.15,4,1.03
11,38086,0.45,0.21,0.34,1.13,4,1.024
12,38573,0.45,0.21,0.34,1.12,4,1.013
13,39071,0.45,0.21,0.34,1.1,4,1.013
14,39356,0.45,0.21,0.33,1.11,4,1.007
15,39354,0.45,0.21,0.33,1.12,4,1
16,39263,0.45,0.21,0.33,1.12,4,0.998
17,39380,0.46,0.21,0.33,1.1,4,1.003
18,39391,0.45,0.21,0.34,1.1,4,1
19,39452,0.45,0.21,0.34,1.11,4,1.002
20,39696,0.45,0.21,0.34,1.12,4,1.006
21,39768,0.45,0.21,0.33,1.11,4,1.002
22,39767,0.46,0.21,0.34,1.12,4,1
23,39732,0.45,0.21,0.34,1.12,4,0.999
24,39683,0.45,0.22,0.33,1.1,4,0.999
25,40046,0.45,0.21,0.34,1.09,4,1.009
26,40161,0.45,0.21,0.33,1.08,4,1.003
1,27936,0.5,0.15,0.36,1.07,5,NA
2,27378,0.45,0.23,0.33,1.09,5,0.98
3,27379,0.46,0.21,0.33,1.08,5,1
4,27339,0.45,0.21,0.33,1.08,5,0.999
5,29240,0.47,0.2,0.33,1.12,5,1.07
6,31583,0.47,0.19,0.34,1.15,5,1.08
7,33529,0.46,0.2,0.34,1.15,5,1.062
8,35081,0.45,0.21,0.34,1.15,5,1.046
9,36286,0.46,0.2,0.34,1.14,5,1.034
10,37382,0.45,0.21,0.34,1.15,5,1.03
11,37949,0.45,0.21,0.34,1.12,5,1.015
12,38305,0.45,0.22,0.33,1.13,5,1.009
13,38608,0.45,0.21,0.34,1.11,5,1.008
14,38618,0.45,0.21,0.33,1.1,5,1
15,38392,0.45,0.21,0.34,1.09,5,0.994
16,38510,0.45,0.21,0.34,1.09,5,1.003
17,38014,0.45,0.21,0.33,1.11,5,0.987
18,38022,0.46,0.21,0.33,1.1,5,1
19,38002,0.45,0.21,0.34,1.11,5,0.999
20,37760,0.46,0.21,0.33,1.11,5,0.994
21,37893,0.46,0.21,0.34,1.1,5,1.004
22,37822,0.45,0.21,0.33,1.1,5,0.998
23,38236,0.45,0.21,0.34,1.09,5,1.011
24,38496,0.45,0.21,0.33,1.09,5,1.007
25,38379,0.46,0.21,0.33,1.09,5,0.997
26,38178,0.46,0.21,0.34,1.07,5,0.995
1,28463,0.49,0.15,0.36,1.08,6,NA
2,27855,0.44,0.23,0.33,1.08,6,0.979
3,27940,0.46,0.21,0.33,1.09,6,1.003
4,27969,0.45,0.21,0.34,1.12,6,1.001
5,29957,0.47,0.2,0.33,1.16,6,1.071
6,32895,0.47,0.19,0.34,1.19,6,1.098
7,35169,0.45,0.2,0.34,1.19,6,1.069
8,36981,0.45,0.21,0.34,1.16,6,1.052
9,38744,0.45,0.21,0.34,1.15,6,1.048
10,39812,0.45,0.21,0.34,1.15,6,1.028
11,40783,0.45,0.21,0.34,1.14,6,1.024
12,41200,0.45,0.21,0.34,1.13,6,1.01
13,41246,0.45,0.21,0.33,1.11,6,1.001
14,40896,0.46,0.21,0.33,1.12,6,0.992
15,40942,0.46,0.21,0.33,1.11,6,1.001
16,41087,0.45,0.21,0.34,1.11,6,1.004
17,41336,0.45,0.21,0.34,1.11,6,1.006
18,41184,0.46,0.21,0.33,1.09,6,0.996
19,41010,0.46,0.21,0.33,1.09,6,0.996
20,40849,0.46,0.21,0.33,1.08,6,0.996
21,41164,0.46,0.21,0.33,1.09,6,1.008
22,41252,0.45,0.21,0.33,1.1,6,1.002
23,41199,0.46,0.21,0.33,1.11,6,0.999
24,41062,0.45,0.21,0.33,1.11,6,0.997
25,41131,0.46,0.21,0.33,1.1,6,1.002
26,41037,0.46,0.21,0.33,1.1,6,0.998
1,27816,0.49,0.15,0.36,1.06,7,NA
2,27362,0.44,0.23,0.33,1.09,7,0.984
3,27465,0.46,0.21,0.33,1.09,7,1.004
4,27376,0.46,0.21,0.33,1.09,7,0.997
5,29514,0.47,0.2,0.33,1.13,7,1.078
6,32076,0.47,0.19,0.34,1.14,7,1.087
7,34423,0.46,0.2,0.34,1.15,7,1.073
8,36323,0.46,0.2,0.34,1.15,7,1.055
9,37654,0.45,0.21,0.34,1.13,7,1.037
10,38015,0.45,0.21,0.34,1.13,7,1.01
11,38331,0.46,0.21,0.33,1.11,7,1.008
12,38574,0.45,0.21,0.33,1.12,7,1.006
13,38408,0.45,0.21,0.34,1.09,7,0.996
14,38222,0.46,0.21,0.33,1.1,7,0.995
15,38022,0.45,0.21,0.33,1.08,7,0.995
16,37666,0.46,0.21,0.33,1.09,7,0.991
17,38000,0.46,0.21,0.33,1.1,7,1.009
18,37904,0.46,0.21,0.33,1.09,7,0.997
19,37990,0.45,0.21,0.34,1.09,7,1.002
20,38018,0.46,0.21,0.33,1.08,7,1.001
21,38229,0.46,0.21,0.33,1.1,7,1.006
22,37802,0.46,0.21,0.33,1.09,7,0.989
23,37892,0.46,0.21,0.34,1.09,7,1.002
24,37486,0.45,0.21,0.33,1.08,7,0.989
25,37195,0.46,0.21,0.33,1.08,7,0.992
26,37006,0.46,0.21,0.33,1.1,7,0.995
1,28009,0.49,0.15,0.36,1.08,8,NA
2,27431,0.44,0.23,0.33,1.11,8,0.979
3,27719,0.46,0.2,0.34,1.11,8,1.01
4,27661,0.45,0.22,0.33,1.1,8,0.998
5,29524,0.47,0.2,0.33,1.13,8,1.067
6,32225,0.47,0.19,0.34,1.14,8,1.091
7,34235,0.46,0.2,0.34,1.15,8,1.062
8,36150,0.45,0.21,0.34,1.16,8,1.056
9,37680,0.45,0.21,0.34,1.14,8,1.042
10,38652,0.46,0.21,0.34,1.12,8,1.026
11,39252,0.45,0.21,0.34,1.12,8,1.016
12,39737,0.45,0.21,0.34,1.13,8,1.012
13,40299,0.45,0.21,0.34,1.13,8,1.014
14,40630,0.45,0.21,0.34,1.11,8,1.008
15,40580,0.45,0.21,0.33,1.1,8,0.999
16,40714,0.45,0.21,0.34,1.11,8,1.003
17,40589,0.45,0.22,0.33,1.1,8,0.997
18,40256,0.46,0.21,0.34,1.09,8,0.992
19,40004,0.46,0.21,0.33,1.1,8,0.994
20,39573,0.45,0.21,0.34,1.1,8,0.989
21,39385,0.45,0.21,0.33,1.11,8,0.995
22,39177,0.46,0.21,0.33,1.12,8,0.995
23,39060,0.45,0.21,0.34,1.12,8,0.997
24,38928,0.45,0.21,0.33,1.11,8,0.997
25,38906,0.46,0.21,0.33,1.11,8,0.999
26,39107,0.46,0.21,0.33,1.1,8,1.005
1,28494,0.49,0.15,0.36,1.07,9,NA
2,27920,0.44,0.23,0.33,1.09,9,0.98
3,28092,0.46,0.2,0.34,1.09,9,1.006
4,27603,0.46,0.21,0.33,1.1,9,0.983
5,29939,0.48,0.19,0.33,1.16,9,1.085
6,32468,0.47,0.19,0.34,1.18,9,1.084
7,34771,0.46,0.2,0.34,1.18,9,1.071
8,36671,0.45,0.21,0.34,1.16,9,1.055
9,37985,0.45,0.21,0.34,1.16,9,1.036
10,38812,0.45,0.21,0.34,1.15,9,1.022
11,39397,0.45,0.21,0.34,1.14,9,1.015
12,40049,0.45,0.21,0.34,1.14,9,1.017
13,40376,0.45,0.21,0.34,1.12,9,1.008
14,40953,0.45,0.21,0.34,1.12,9,1.014
15,40997,0.45,0.21,0.34,1.13,9,1.001
16,41096,0.45,0.21,0.34,1.11,9,1.002
17,40991,0.45,0.21,0.34,1.11,9,0.997
18,40722,0.45,0.21,0.33,1.1,9,0.993
19,40735,0.46,0.21,0.34,1.09,9,1
20,40604,0.45,0.21,0.33,1.09,9,0.997
21,40245,0.45,0.21,0.33,1.09,9,0.991
22,40554,0.46,0.21,0.34,1.08,9,1.008
23,40739,0.45,0.21,0.34,1.1,9,1.005
24,40399,0.45,0.21,0.33,1.09,9,0.992
25,40673,0.45,0.21,0.33,1.08,9,1.007
26,40374,0.46,0.21,0.33,1.09,9,0.993
1,28112,0.49,0.15,0.36,1.07,10,NA
2,27593,0.45,0.23,0.33,1.08,10,0.982
3,27683,0.46,0.21,0.33,1.07,10,1.003
4,27671,0.45,0.21,0.33,1.08,10,1
5,29646,0.48,0.2,0.33,1.13,10,1.071
6,32370,0.47,0.19,0.34,1.16,10,1.092
7,34535,0.46,0.2,0.34,1.17,10,1.067
8,36197,0.45,0.21,0.34,1.16,10,1.048
9,37415,0.45,0.21,0.34,1.15,10,1.034
10,38562,0.45,0.21,0.34,1.14,10,1.031
11,39341,0.45,0.21,0.34,1.14,10,1.02
12,39586,0.45,0.21,0.34,1.12,10,1.006
13,39824,0.45,0.21,0.34,1.12,10,1.006
14,40036,0.45,0.21,0.34,1.12,10,1.005
15,40582,0.45,0.21,0.34,1.11,10,1.014
16,40452,0.45,0.21,0.33,1.09,10,0.997
17,40230,0.46,0.21,0.33,1.09,10,0.995
18,40217,0.45,0.21,0.33,1.1,10,1
19,40357,0.46,0.21,0.34,1.11,10,1.003
20,40384,0.45,0.21,0.34,1.1,10,1.001
21,40518,0.45,0.21,0.33,1.1,10,1.003
22,40431,0.46,0.21,0.33,1.1,10,0.998
23,40840,0.46,0.21,0.34,1.12,10,1.01
24,41136,0.45,0.21,0.33,1.11,10,1.007
25,41039,0.45,0.21,0.34,1.1,10,0.998
26,41327,0.45,0.21,0.33,1.1,10,1.007
